barkod_no,urun_adi,fiyat,stok_adedi
8690277460824,Yarım Yağlı Süt 1L,31.66,27
8690482474896,Tam Yağlı Süt 1L,36.9,135
8690772237702,Süzme Peynir 500g,107.48,104
8690876425522,Beyaz Peynir 1kg,253.86,72
8690647704458,Kaşar Peyniri 500g,155.25,135
8690491502794,Yoğurt 2kg,80.68,177
8690688789996,Süzme Yoğurt 900g,76.9,145
8690652248033,Ayran 1.5L,46.03,39
8690229864764,Tereyağı 500g,186.45,86
8690537923674,Yumurta 30'lu,132.72,65
8690144390871,Pilavlık Pirinç 1kg,77.39,27
8690260477755,Kırmızı Mercimek 1kg,53.54,67
8690241052734,Nohut 1kg,57.02,36
8690132756422,Pilavlık Bulgur 1kg,38.75,169
8690218672364,Kuru Fasulye 1kg,80.13,77
8690844533678,Çubuk Makarna 500g,16.17,125
8690169607219,Burgu Makarna 500g,23.35,80
8690210399976,Boncuk Makarna 500g,22.24,131
8690943357899,Ayçiçek Yağı 5L,231.92,117
8690641931692,Zeytinyağı Sızma 1L,369.13,114
8690827930207,Toz Şeker 5kg,178.48,65
8690871199322,Küp Şeker 1kg,42.87,21
8690490716820,Buğday Unu 5kg,111.41,88
8690105043567,Siyah Çay 1kg,174.5,168
8690107040491,Türk Kahvesi 100g,37.07,80
8690642843342,Granül Kahve 200g,149.47,121
8690421340831,Domates Salçası 830g,40.41,47
8690656215247,Siyah Zeytin 1kg,171.1,148
8690668178551,Yeşil Zeytin 400g,73.65,172
8690223015144,Çiçek Balı 850g,198.85,24
8690543265279,Çilek Reçeli 380g,48.97,128
8690137248111,Kakaolu Fındık Kreması 700g,135.17,177
8690251926761,Fıstık Ezmesi 350g,109.39,130
8690342038708,Gofret Çikolatalı,14.5,25
8690797286805,Sütlü Çikolata 80g,28.91,105
8690998302948,Bitter Çikolata 80g,31.48,34
8690684915180,Patates Cipsi Klasik,43.95,57
8690595800884,Mısır Cipsi Peynirli,37.32,26
8690519098752,Tuzlu Fıstık 200g,68.6,38
8690188389207,Karışık Kuruyemiş 150g,75.5,80
8690923856897,Kremalı Bisküvi 3'lü,36.97,159
8690297164019,Pötibör Bisküvi 1kg,57.26,104
8690386092203,Tuzlu Kraker,12.65,71
8690166965831,Kek Kakaolu,15.58,15
8690462758073,Coca-Cola 2.5L,57.0,110
8690127847042,Fanta 2.5L,59.83,50
8690289450865,Sprite 2L,54.49,15
8690573900717,Soğuk Çay Şeftali 1.5L,46.77,81
8690471600226,Meyve Suyu Karışık 1L,39.51,29
8690706549781,Meyve Suyu Vişne 1L,39.05,94
8690282289337,Maden Suyu 6'lı,40.0,175
8690900410801,Meyveli Maden Suyu 6'lı,52.93,101
8690606714584,Doğal Kaynak Suyu 5L,25.1,151
8690653850350,Doğal Kaynak Suyu 1.5L,13.08,120
8690207251078,Şalgam Suyu Acılı 1L,25.41,110
8690953430109,Toz Çamaşır Deterjanı 10kg,371.21,107
8690770854574,Sıvı Çamaşır Deterjanı 3L,154.61,14
8690215528584,Yumuşatıcı 5L,107.41,111
8690492249256,Çamaşır Suyu 4L,71.67,73
8690645453509,Bulaşık Makinesi Tableti 50'li,224.9,53
8690610468723,Elde Bulaşık Deterjanı 1L,42.82,136
8690816096277,Yüzey Temizleyici 2.5L,64.33,73
8690195283981,Cam Temizleyici 750ml,44.96,162
8690762534176,Sıvı Sabun 4L,94.71,49
8690655570271,Katı Sabun 4'lü,47.76,177
8690198083255,Şampuan 500ml,96.32,13
8690299177755,Saç Kremi 400ml,92.24,130
8690631703894,Duş Jeli 500ml,60.94,70
8690947823768,Diş Macunu 75ml,107.1,116
8690899965034,Diş Fırçası,72.71,82
8690227264382,Deodorant Sprey 150ml,119.33,120
8690175036160,Tuvalet Kağıdı 32'li,211.43,25
8690155445522,Kağıt Havlu 12'li,102.87,104
8690623794199,Peçete 100'lü,24.98,80
8690514632031,Islak Mendil 90'lı,30.04,114
8690862972945,Bebek Bezi No:4 60'lı,341.24,166
8690991825176,Bebek Şampuanı 500ml,74.99,106
8690805301120,Tıraş Bıçağı 3'lü,60.53,52
8690125800953,Tıraş Köpüğü 200ml,56.2,15
8690536068750,Sıvı Krem Temizleyici 750ml,38.42,62
8690216596285,Mayonez 600g,64.53,85
8690684144656,Ketçap 650g,64.65,124
8690124910014,Pul Biber 250g,57.04,75
8690831294602,Karabiber 100g,65.65,75
8690857747395,Kimyon 100g,58.86,12
8690915366382,Kuru Nane 100g,39.59,99
8690934284682,Tuz 750g,17.24,127
8690509267098,Elma Sirkesi 500ml,28.71,165
8690106723847,Limon Suyu 500ml,19.38,153
8690397016709,Kornişon Turşu 680g,64.68,73
8690336367422,Ton Balığı Konservesi 2x160g,109.21,179
8690666013396,Mısır Konservesi 3'lü,52.74,22
8690557975832,Hazır Çorba Mercimek,13.44,159
8690335898277,Hazır Çorba Ezogelin,17.83,24
8690117697202,Müsli/Yulaf Ezmesi 500g,49.98,109
8690721504665,Corn Flakes 500g,62.68,25
8690759867037,Tahin 600g,126.57,68
8690693261965,Pekmez 700g,111.78,109
8690930371258,Labne Peyniri 400g,74.74,106
8690611042366,Krem Peynir 300g,67.94,65
